name,year,general,location,terrain,attacker_troops,defender_troops,attacker_tactics,defender_tactics,outcome,key_lesson,general_insight
Waterloo,18 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Waterloo was fought on Sunday 18 June 1815, near Waterloo (then in the United Kingdom "
Gettysburg,1 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Gettysburg (locally  ) was a three-day battle in the American Civil War, which was fou"
Marathon,490 BC,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Marathon took place in 490 BC during the first Persian invasion of Greece. It was foug
Hastings,14 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Hastings was fought on 14 October 1066 between the Norman-French army of William, Duke"
Midway,4,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Midway was a major naval battle in the Pacific Theater of World War II that took place
Tours,10 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Tours, also called the Battle of Poitiers and the Battle of the Highway of the Martyrs"
Agincourt,25 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Agincourt ( AJ-in-kor(t); French: Azincourt [azɛ̃kuʁ]) was an English victory in the H
Leipzig,16 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Leipzig, also known as the Battle of the Nations, was fought from 16 to 19 October 181"
Vienna,12 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Siege and Battle of Vienna took place at Kahlenberg Mountain near Vienna on 12 September 1683 af
Borodino,7 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Borodino or the Battle of Moscow took place on the outskirts of Moscow near the villag
Salamis,480 BC,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Salamis ( SAL-ə-miss) was a naval battle fought in 480 BC, between an alliance of Gree"
Trafalgar,21 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Trafalgar was a naval engagement that took place on 21 October 1805 between the Royal 
Jutland,31 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Jutland (German: Skagerrakschlacht, lit. 'Battle of the Skagerrak') was a naval battle"
Verdun,21 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Verdun (French: Bataille de Verdun [bataj də vɛʁdœ̃]; German: Schlacht um Verdun [ʃlax
the Somme,1 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of the Somme (French: Bataille de la Somme; German: Schlacht an der Somme), also known as"
Britain,18 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Britain (German: Luftschlacht um England, lit. 'air battle for England') was a militar"
the Bulge,16 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of the Bulge, also known as the Ardennes Offensive or Unternehmen Wacht am Rhein, was the"
Iwo Jima,19 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Iwo Jima (硫黄島の戦い, Iōtō no Tatakai, Iōjima no Tatakai; 19 February – 26 March 1945) was"
Kursk,1943,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Kursk, also called the Battle of the Kursk Salient, was a major World War II Eastern F"
El Alamein,1942,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"There were two Battles of El Alamein in World War II, both fought in 1942. The battles occurred duri"
Yorktown,Unknown,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The siege of Yorktown, also known as the Battle of Yorktown and the surrender at Yorktown, was the f"
Actium,2 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Actium was a naval battle fought between Octavian's maritime fleet, led by Marcus Agri"
Chalons,20,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of the Catalaunian Plains (or Fields), also called the Battle of the Campus Mauriacus, Ba"
Kadesh,1274 BC,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Kadesh took place in the 13th century BC between the Egyptian Empire led by pharaoh Ra
Sekigahara,21,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Sekigahara (Shinjitai: 関ヶ原の戦い; Kyūjitai: 關ヶ原の戰い, Hepburn romanization: Sekigahara no T"
Red Cliffs,208,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Red Cliffs, also known as the Battle of Chibi, was a decisive naval battle in China th"
Plassey,23 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Plassey was a decisive victory of the British East India Company, under the leadership"
Blenheim,13 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,The Battle of Blenheim (German: Zweite Schlacht bei Höchstädt; French: Bataille de Höchstädt; Dutch:
Saratoga,19 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battles of Saratoga (September 19 and October 7, 1777) were two battles between the American Con"
Omdurman,2 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Omdurman,  also known as the Battle of Karary, was fought during the Anglo-Egyptian co"
Tannenberg,23 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Tannenberg, also known as the Second Battle of Tannenberg, was fought between Russia a"
Poltava,8 ,Various,Unknown,Various,Unknown,Unknown,See summary,See summary,See summary,Historic,"The Battle of Poltava took place 8 July 1709, was the decisive and largest battle of the Great North"
